holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
No,281.8,0.0,0.0,23,Clear,sky is clear,2025-08-01 00:00:00,483
No,283.7,0.0,0.0,40,Clouds,overcast clouds,2025-08-01 01:00:00,431
No,285.0,0.0,0.0,83,Clouds,overcast clouds,2025-08-01 02:00:00,478
No,311.1,0.0,0.0,39,Clear,sky is clear,2025-08-01 03:00:00,494
No,313.1,0.0,0.0,62,Clouds,overcast clouds,2025-08-01 04:00:00,821
No,304.1,2.0,0.0,46,Rain,heavy rain,2025-08-01 05:00:00,301
No,287.5,0.5,0.0,84,Rain,light rain,2025-08-01 06:00:00,426
No,285.8,0.0,0.0,45,Clear,sky is clear,2025-08-01 07:00:00,4304
No,297.0,0.0,0.0,76,Clear,sky is clear,2025-08-01 08:00:00,4648
No,294.3,0.0,0.5,57,Snow,light snow,2025-08-01 09:00:00,4207
No,283.9,0.5,0.0,79,Rain,light rain,2025-08-01 10:00:00,852
No,286.7,0.0,0.5,25,Snow,light snow,2025-08-01 11:00:00,948
No,293.7,0.0,0.5,41,Snow,light snow,2025-08-01 12:00:00,888
No,302.2,0.5,0.0,68,Rain,light rain,2025-08-01 13:00:00,687
No,286.5,0.0,0.0,55,Clear,sky is clear,2025-08-01 14:00:00,1320
No,289.5,0.0,0.0,32,Clear,sky is clear,2025-08-01 15:00:00,1295
No,289.8,2.0,0.0,56,Rain,heavy rain,2025-08-01 16:00:00,2924
No,279.9,0.0,0.0,65,Clouds,overcast clouds,2025-08-01 17:00:00,5036
No,285.2,2.0,0.0,34,Rain,heavy rain,2025-08-01 18:00:00,4714
No,291.9,0.0,0.5,26,Snow,light snow,2025-08-01 19:00:00,380
No,302.2,2.0,0.0,39,Rain,heavy rain,2025-08-01 20:00:00,200
No,288.0,0.0,0.0,41,Clouds,overcast clouds,2025-08-01 21:00:00,562
No,303.0,0.0,0.0,79,Clouds,overcast clouds,2025-08-01 22:00:00,498
No,298.1,2.0,0.0,57,Rain,heavy rain,2025-08-01 23:00:00,200
No,293.9,2.0,0.0,23,Rain,heavy rain,2025-08-02 00:00:00,200
No,284.2,2.0,0.0,45,Rain,heavy rain,2025-08-02 01:00:00,200
No,296.2,0.0,0.5,55,Snow,light snow,2025-08-02 02:00:00,200
No,295.3,0.0,0.0,8,Clear,sky is clear,2025-08-02 03:00:00,200
No,298.9,0.0,0.0,41,Clear,sky is clear,2025-08-02 04:00:00,200
No,300.8,0.0,0.0,71,Clear,sky is clear,2025-08-02 05:00:00,200
No,286.7,0.0,0.5,37,Snow,light snow,2025-08-02 06:00:00,200
No,297.7,0.5,0.0,20,Rain,light rain,2025-08-02 07:00:00,3566
No,280.9,0.0,0.0,23,Clear,sky is clear,2025-08-02 08:00:00,2344
No,295.2,0.5,0.0,69,Rain,light rain,2025-08-02 09:00:00,3742
No,287.4,0.5,0.0,88,Rain,light rain,2025-08-02 10:00:00,200
No,312.5,0.0,0.5,69,Snow,light snow,2025-08-02 11:00:00,200
No,305.9,0.0,0.0,0,Clear,sky is clear,2025-08-02 12:00:00,380
No,306.2,0.5,0.0,82,Rain,light rain,2025-08-02 13:00:00,329
No,290.2,0.0,0.0,57,Clear,sky is clear,2025-08-02 14:00:00,200
No,290.4,2.0,0.0,32,Rain,heavy rain,2025-08-02 15:00:00,200
No,292.1,2.0,0.0,23,Rain,heavy rain,2025-08-02 16:00:00,3105
No,311.3,0.0,0.0,53,Clouds,overcast clouds,2025-08-02 17:00:00,2760
No,299.4,0.0,0.5,38,Snow,light snow,2025-08-02 18:00:00,2529
No,283.3,0.0,0.0,52,Clear,sky is clear,2025-08-02 19:00:00,200
No,293.8,0.0,0.5,31,Snow,light snow,2025-08-02 20:00:00,200
No,295.0,2.0,0.0,39,Rain,heavy rain,2025-08-02 21:00:00,200
No,280.1,0.5,0.0,75,Rain,light rain,2025-08-02 22:00:00,200
No,286.3,2.0,0.0,11,Rain,heavy rain,2025-08-02 23:00:00,200
No,304.2,0.0,0.5,46,Snow,light snow,2025-08-03 00:00:00,200
No,284.9,0.0,0.5,62,Snow,light snow,2025-08-03 01:00:00,200
No,302.7,0.0,0.0,65,Clear,sky is clear,2025-08-03 02:00:00,200
No,304.7,2.0,0.0,60,Rain,heavy rain,2025-08-03 03:00:00,200
No,299.5,0.0,0.5,56,Snow,light snow,2025-08-03 04:00:00,200
No,299.1,0.0,0.0,87,Clear,sky is clear,2025-08-03 05:00:00,200
No,290.1,0.0,0.5,4,Snow,light snow,2025-08-03 06:00:00,200
No,297.8,0.0,0.5,80,Snow,light snow,2025-08-03 07:00:00,2887
No,311.6,2.0,0.0,65,Rain,heavy rain,2025-08-03 08:00:00,2989
No,309.5,2.0,0.0,6,Rain,heavy rain,2025-08-03 09:00:00,1844
No,319.2,0.0,0.5,35,Snow,light snow,2025-08-03 10:00:00,200
No,297.2,2.0,0.0,91,Rain,heavy rain,2025-08-03 11:00:00,200
No,288.5,2.0,0.0,36,Rain,heavy rain,2025-08-03 12:00:00,200
No,293.2,2.0,0.0,25,Rain,heavy rain,2025-08-03 13:00:00,200
No,291.0,0.0,0.0,55,Clouds,overcast clouds,2025-08-03 14:00:00,579
No,299.7,0.0,0.5,45,Snow,light snow,2025-08-03 15:00:00,200
No,299.7,0.0,0.0,71,Clouds,overcast clouds,2025-08-03 16:00:00,3512
No,296.6,0.0,0.0,100,Clear,sky is clear,2025-08-03 17:00:00,2549
No,298.1,0.0,0.0,64,Clear,sky is clear,2025-08-03 18:00:00,3535
No,295.7,0.0,0.0,50,Clouds,overcast clouds,2025-08-03 19:00:00,200
No,297.8,0.0,0.0,50,Clouds,overcast clouds,2025-08-03 20:00:00,200
No,295.2,0.5,0.0,39,Rain,light rain,2025-08-03 21:00:00,200
No,295.4,0.0,0.0,36,Clouds,overcast clouds,2025-08-03 22:00:00,200
No,287.5,0.0,0.0,17,Clouds,overcast clouds,2025-08-03 23:00:00,200
No,292.9,2.0,0.0,37,Rain,heavy rain,2025-08-04 00:00:00,382
No,299.7,0.0,0.5,56,Snow,light snow,2025-08-04 01:00:00,200
No,280.2,2.0,0.0,84,Rain,heavy rain,2025-08-04 02:00:00,363
No,303.9,0.0,0.5,0,Snow,light snow,2025-08-04 03:00:00,200
No,280.4,0.0,0.5,24,Snow,light snow,2025-08-04 04:00:00,200
No,294.5,2.0,0.0,43,Rain,heavy rain,2025-08-04 05:00:00,200
No,302.9,0.0,0.0,32,Clouds,overcast clouds,2025-08-04 06:00:00,953
No,294.4,2.0,0.0,10,Rain,heavy rain,2025-08-04 07:00:00,3206
No,313.4,2.0,0.0,100,Rain,heavy rain,2025-08-04 08:00:00,2764
No,297.3,2.0,0.0,56,Rain,heavy rain,2025-08-04 09:00:00,4028
No,300.2,0.0,0.0,69,Clear,sky is clear,2025-08-04 10:00:00,1443
No,306.6,2.0,0.0,69,Rain,heavy rain,2025-08-04 11:00:00,1134
